#{"t_start": 1740660108.039301, "env_id": "None"}
r,l,t
-273738.122722,15,18.23601
-299168.551398,15,18.253008
-291916.265555,15,18.270008
-282538.899741,15,18.287107
-140694.84151,15,18.305336
-289783.920785,15,18.321336
-301740.922114,15,18.34886
-287766.459865,15,18.379999
-291688.372652,15,18.404157
-13303.137489,15,18.425153
-287480.56935,15,18.449246
-291245.215792,15,18.469404
-284410.400325,15,18.488404
-297488.393162,15,18.50652
-293534.955159,15,18.52666
-298144.213735,15,18.553871
-298274.234003,15,18.573025
-293056.61519,15,18.592026
-294545.081841,15,18.615209
-286896.45718,15,18.636207
-290330.710239,15,18.662332
-225111.120204,15,18.683692
-299992.641329,15,18.705681
-96137.963701,15,18.729681
-282058.417142,15,18.74968
-288952.366591,15,18.770681
-302230.123944,15,18.789681
-287113.261757,15,18.810682
-296566.060608,15,18.830682
-291026.394167,15,18.851681
-304302.332221,15,18.87568
-283540.45722,15,18.898693
-284429.844097,15,18.921046
-54731.443914,15,18.938352
-295142.175906,15,18.957653
-284216.55948,15,18.97877
-281076.78244,15,19.002769
-291790.051693,15,19.023769
-291767.979971,15,19.044057
-288618.250159,15,19.06406
-287872.607929,15,19.089057
-293822.74788,15,19.108056
-282070.98568,15,19.132057
-181755.001455,15,19.154057
-281330.595942,15,19.177058
-193718.698881,15,19.198917
-280986.465386,15,19.218256
-278889.349419,15,19.23752
-299219.390469,15,19.25981
-306066.909274,15,19.279131
-285243.198095,15,19.298394
-293566.595185,15,19.325845
-284141.481389,15,19.349181
-297322.477878,15,19.370604
-298782.755262,15,19.390889
-289422.038236,15,19.416324
-298082.519008,15,19.440723
-290754.471793,15,19.463886
-302725.824957,15,19.483031
-280513.623262,15,19.504325
-190516.526797,15,19.530542
-292276.021834,15,19.554075
-281954.88077,15,19.576299
-291912.914098,15,19.595695
-296169.857733,15,19.613982
-296437.074331,15,19.634071
-300386.476151,15,19.653238
-297523.046468,15,19.674381
-299232.405392,15,19.694515
-282963.075981,15,19.712646
-293161.00337,15,19.739646
-298152.191586,15,19.776855
-286883.784803,15,19.804021
-292192.236071,15,19.824258
-302488.873024,15,19.852689
-289383.563456,15,19.87499
-2241.414345,15,19.896177
-294126.634962,15,19.914425
-281090.611975,15,19.933732
-177485.452776,15,19.956846
-286356.819736,15,19.97694
-286824.361267,15,19.99894
-7272.493629,15,20.022949
-292177.753145,15,20.049386
-283354.2469,15,20.075649
-290101.041751,15,20.093651
-293459.051448,15,20.114651
-279632.431288,15,20.140652
-282581.774223,15,20.169831
-123976.846534,15,20.190831
-164374.899834,15,20.213841
-291081.659166,15,20.23683
-282498.591776,15,20.259093
-254502.729804,15,20.281509
-17058.554695,15,20.300502
-286627.026038,15,20.322715
-292698.291178,15,20.34285
-268493.63202,15,20.35995
-285290.657216,15,20.382219
-293887.216434,15,20.406358
-285699.126634,15,20.429679
-124694.63294,15,20.44916
-286751.26076,15,20.471444
-292057.684826,15,20.498716
-291299.501392,15,20.522032
-202868.288734,15,20.540195
-286151.385185,15,20.558329
-303464.132631,15,20.577464
-291376.959018,15,20.600566
-294790.940509,15,20.619756
-96275.994718,15,20.641128
-286600.932061,15,20.664599
-296297.391282,15,20.684818
-279463.286377,15,20.705054
-293562.879777,15,20.726202
-285458.051035,15,20.74938
-206080.784719,15,20.773796
-298629.441867,15,20.79405
-285461.959944,15,20.819319
-291115.138388,15,20.84269
-296781.24274,15,20.861811
