#{"t_start": 1740660101.043639, "env_id": "None"}
r,l,t
-3413.9625,15,4.938176
-4100.6625,15,4.945166
-4690.2475,15,4.952623
-4690.2475,15,4.959758
-4100.6625,15,4.967032
-4787.3625,15,4.974032
-3413.9625,15,4.981024
-4690.2475,15,4.988176
-5889.1325,15,4.995176
-2240.3625,15,5.002359
-3413.9625,15,5.009572
-3413.9625,15,5.016763
-4690.2475,15,5.024771
-5889.1325,15,5.030764
-4100.6625,15,5.038772
-4787.3625,15,5.045821
-3413.9625,15,5.052962
-4100.6625,15,5.060163
-4787.3625,15,5.067293
-4612.8475,15,5.074291
-4100.6625,15,5.081291
-4100.6625,15,5.088284
-3413.9625,15,5.095284
-3413.9625,15,5.104812
-4100.6625,15,5.11105
-4100.6625,15,5.118171
-3413.9625,15,5.126225
-4690.2475,15,5.133367
-3413.9625,15,5.139817
-4100.6625,15,5.14702
-6063.6475,15,5.15402
-3413.9625,15,5.161184
-3413.9625,15,5.168401
-4690.2475,15,5.1754
-4100.6625,15,5.1824
-5889.1325,15,5.189623
-5474.0625,15,5.195624
-3413.9625,15,5.202797
-3413.9625,15,5.209979
-4690.2475,15,5.217182
-4100.6625,15,5.224179
-4690.2475,15,5.230179
-4787.3625,15,5.23718
-4787.3625,15,5.244179
-4690.2475,15,5.251394
-4100.6625,15,5.257665
-3413.9625,15,5.264664
-3413.9625,15,5.271665
-4690.2475,15,5.278664
-4690.2475,15,5.285764
-4787.3625,15,5.291958
-4787.3625,15,5.299197
-4100.6625,15,5.306413
-4100.6625,15,5.31342
-4100.6625,15,5.31955
-4100.6625,15,5.326551
-4690.2475,15,5.333544
-5376.9475,15,5.339821
-4100.6625,15,5.347104
-6063.6475,15,5.354104
-4690.2475,15,5.360375
-4787.3625,15,5.367413
-4690.2475,15,5.374413
-3413.9625,15,5.381413
-4787.3625,15,5.388757
-4612.8475,15,5.394756
-3413.9625,15,5.402025
-4100.6625,15,5.408374
-4612.8475,15,5.415374
-4100.6625,15,5.422374
-5376.9475,15,5.429374
-3413.9625,15,5.436512
-3413.9625,15,5.443519
-3413.9625,15,5.450727
-4100.6625,15,5.458727
-4690.2475,15,5.465724
-3413.9625,15,5.47272
-4100.6625,15,5.479807
-4690.2475,15,5.487719
-3413.9625,15,5.494786
-4100.6625,15,5.501724
-5376.9475,15,5.508889
-5889.1325,15,5.516889
-5376.9475,15,5.523889
-5474.0625,15,5.530889
-5376.9475,15,5.53789
-4100.6625,15,5.54489
-3413.9625,15,5.551889
-3413.9625,15,5.55889
-4690.2475,15,5.565882
-5376.9475,15,5.571889
-4100.6625,15,5.57889
-4787.3625,15,5.585889
-3413.9625,15,5.592889
-4100.6625,15,5.59989
-4100.6625,15,5.607016
-3413.9625,15,5.613889
-4100.6625,15,5.620889
-4100.6625,15,5.627176
-4100.6625,15,5.63389
-4690.2475,15,5.640889
-4100.6625,15,5.647889
-4100.6625,15,5.654889
-4100.6625,15,5.660889
-5299.5475,15,5.66789
-3413.9625,15,5.674889
-4100.6625,15,5.681889
-4787.3625,15,5.68889
-5889.1325,15,5.695889
-3413.9625,15,5.702971
-3413.9625,15,5.70997
-4690.2475,15,5.716973
-4100.6625,15,5.723971
-3413.9625,15,5.730971
-4100.6625,15,5.737964
-3413.9625,15,5.744971
-4787.3625,15,5.751863
-4690.2475,15,5.758864
-4100.6625,15,5.766864
-4100.6625,15,5.773864
-4100.6625,15,5.780863
-5299.5475,15,5.787864
-3413.9625,15,5.794863
-4100.6625,15,5.801863
-3413.9625,15,5.808864
-3413.9625,15,5.816864
-4787.3625,15,5.823863
-3413.9625,15,5.830863
-4690.2475,15,5.837865
-3413.9625,15,5.844863
-3413.9625,15,5.851857
-3413.9625,15,5.858864
-4100.6625,15,5.865869
-3413.9625,15,5.873855
-3413.9625,15,5.881161
-6063.6475,15,5.889377
-4100.6625,15,5.896589
-4690.2475,15,5.903597
-5376.9475,15,5.910806
-3413.9625,15,5.917806
-4690.2475,15,5.924806
-4100.6625,15,5.932056
-6063.6475,15,5.939247
-4612.8475,15,5.946424
-4100.6625,15,5.953433
-5299.5475,15,5.96062
-3413.9625,15,5.967611
-3413.9625,15,5.975618
-4100.6625,15,5.981964
-3413.9625,15,5.989136
-4787.3625,15,5.996323
-4690.2475,15,6.003331
-3413.9625,15,6.010466
-3413.9625,15,6.017467
-5966.5325,15,6.025465
-4690.2475,15,6.031676
-5376.9475,15,6.038816
-4612.8475,15,6.045998
-6063.6475,15,6.053816
-4787.3625,15,6.059816
-4690.2475,15,6.066815
-5889.1325,15,6.074815
-3413.9625,15,6.081132
-3413.9625,15,6.088298
-4690.2475,15,6.095298
-3413.9625,15,6.102606
-5376.9475,15,6.108873
-4787.3625,15,6.115875
-5299.5475,15,6.122873
-3413.9625,15,6.130046
-4100.6625,15,6.137243
-4100.6625,15,6.143242
-4100.6625,15,6.150664
-4100.6625,15,6.157857
-4100.6625,15,6.164849
-3413.9625,15,6.171015
-4100.6625,15,6.178157
-4100.6625,15,6.185162
-3413.9625,15,6.192269
-4690.2475,15,6.199403
-5474.0625,15,6.207577
-4787.3625,15,6.214587
-5376.9475,15,6.221573
-4100.6625,15,6.228792
-4690.2475,15,6.235793
-2567.0625,15,6.241942
-4100.6625,15,6.249131
-3413.9625,15,6.25638
-4100.6625,15,6.263384
-3413.9625,15,6.270384
-4787.3625,15,6.277384
-4100.6625,15,6.284384
-3413.9625,15,6.291437
-4100.6625,15,6.298383
-4690.2475,15,6.305383
-5376.9475,15,6.312702
-6653.2325,15,6.319922
-3413.9625,15,6.326062
-3413.9625,15,6.33407
-3170.0625,15,6.341305
-4690.2475,15,6.347491
-4100.6625,15,6.354498
-4100.6625,15,6.361657
-4100.6625,15,6.36891
-4690.2475,15,6.375955
-4612.8475,15,6.382075
-3413.9625,15,6.38926
-4690.2475,15,6.396437
-4612.8475,15,6.403444
-3413.9625,15,6.410789
-4787.3625,15,6.416986
-5376.9475,15,6.423984
-4543.4625,15,6.431186
-4690.2475,15,6.438373
-4100.6625,15,6.445374
-5376.9475,15,6.452578
-3413.9625,15,6.458789
-4100.6625,15,6.465911
-4690.2475,15,6.472789
-5376.9475,15,6.479994
-4100.6625,15,6.486995
-5376.9475,15,6.493987
-3413.9625,15,6.501987
-3413.9625,15,6.508994
-4100.6625,15,6.515996
-4100.6625,15,6.523241
-4787.3625,15,6.530232
-4100.6625,15,6.537434
-4690.2475,15,6.544443
-4100.6625,15,6.551441
-3413.9625,15,6.558557
-5299.5475,15,6.565556
-3413.9625,15,6.572549
-4100.6625,15,6.579549
-4787.3625,15,6.586733
-4787.3625,15,6.593556
-4100.6625,15,6.600557
-4100.6625,15,6.607558
-4100.6625,15,6.614557
-5376.9475,15,6.62156
-4787.3625,15,6.629557
-3413.9625,15,6.636606
-5376.9475,15,6.643556
-4787.3625,15,6.650556
-3413.9625,15,6.657557
-4100.6625,15,6.66556
-4690.2475,15,6.672556
-4100.6625,15,6.679556
-4100.6625,15,6.686749
-4787.3625,15,6.694549
-4100.6625,15,6.701549
-3413.9625,15,6.708557
-3413.9625,15,6.715558
-3413.9625,15,6.722556
-4100.6625,15,6.729768
-4100.6625,15,6.736775
-4612.8475,15,6.744774
-3413.9625,15,6.751774
-4690.2475,15,6.759001
-3413.9625,15,6.766001
-4690.2475,15,6.773009
-5299.5475,15,6.780002
-3413.9625,15,6.787215
-3413.9625,15,6.794222
-3413.9625,15,6.802217
-3413.9625,15,6.809216
-6063.6475,15,6.816216
-3413.9625,15,6.823443
-4100.6625,15,6.830434
-3413.9625,15,6.837549
-5889.1325,15,6.844557
-4100.6625,15,6.851557
-4612.8475,15,6.858557
-4787.3625,15,6.866569
-3413.9625,15,6.873556
-4100.6625,15,6.880752
-4100.6625,15,6.887956
-4100.6625,15,6.894959
